RecAreaID,RecAreaName
4,WestWorld
6,Lake Pleasant
9,Shadow Mountain Lake
10,White Mountains National Recreation Area
11,Folsom Lake
12,Folsom S. Canal Rec. Trail
14,Imperial Reservoir Area:  Mittry Lake Wildlife Area
15,Imperial Reservoir Area:  Picacho State Recreation Area
16,Davis Dam
17,Lake Berryessa
18,Lake Cahuilla
19,Lake Casitas
20,Lake Woollomes
21,Lewiston National Recreation Area
22,Little Panoche Dam
23,Los Banos Reservoir
24,Millerton Lake
25,New Melones Lake
26,Nimbus Fish Hatchery
27,Abiquiu Lake
29,Hoover Dam
30,Boca Reservoir
31,Cachuma Lake
32,Trinity Lake
33,Contra Loma Reservoir
34,East Park Reservoir
35,Lake Elwell
37,O'Neill Forebay
41,San Justo Reservoir
42,San Luis Reservoir
43,Shasta National Rec. Area
44,San Joaquin River Gorge Special Recreation Management Area
45,Stampede Reservoir
46,Stony Gorge Reservoir
47,Trinity River Fish Hatchery
48,Bonny Reservoir (Bonny Lake State Park)
49,Carter Reservoir (Carter Lake)
50,Crawford Reservoir
51,East Portal Reservoir
52,Flatiron Reservoir
53,Fruitgrowers Reservoir
54,Jackson Gulch Reservoir
57,Paonia Reservoir
59,Ridgway Reservoir
60,Rifle Gap Reservoir
63,Vallecito Reservoir
65,Green Mountain Reservoir
66,Horsetooth Reservoir
67,Lake Estes
68,Lake Granby
69,Nelson Reservoir
70,Pishkun Reservoir
71,Willow Creek Reservoir - Montana
72,Box Butte Reservoir
73,Calamus Reservoir (Virginia Smith Dam)
74,Davis Creek Reservoir
75,Enders Reservoir
76,Harry Strunk Lake (Medicine Creek State Park Recreation Area)
77,Hugh Butler Lake (Red Willow Reservoir State Recreation Area)
78,Lake Minatare State Recreation Area
79,Lake Alice
80,Merritt Reservoir
81,Sherman Reservoir
82,Stateline Islands Unit
83,Swanson Reservoir (Trenton Dam)
84,Winters Creek Lake
85,Lahontan Reservoir
86,Rye Patch Reservoir
87,Avalon Reservoir
88,Marys Lake
89,Pinewood Lake
90,Pueblo Reservoir
91,Ruedi Reservoir
92,Turquoise Lake
93,Twin Lakes
94,Willow Creek Reservoir
95,Navajo Reservoir - Colorado
98,Brantley Reservoir
99,Caballo Reservoir
100,Elephant Butte Reservoir
101,El Vado Reservoir
102,Heron Reservoir
103,Lake Sumner
104,Leasburg Diversion Dam
105,American Falls Reservoir
106,Anderson Ranch Reservoir Boat Ramps
107,Arrowrock Reservoir
108,Black Canyon Reservoir
109,Lake Cascade 
110,Deadwood Reservoir
111,Island Park Reservoir
112,Lake Lowell
113,Lake Waha
114,Silvio O. Conte National Fish and Wildlife Refuge
115,Lake Walcott
116,Little Wood River Reservoir
117,Mann Creek Reservoir
118,Montour Wildlife/Recreation Management Area
119,Reservoir A
120,Ririe  Reservoir
121,Soldiers Meadow Reservoir
122,Apache-Sitgreaves National Forest
123,Cedar Bluff Reservoir
124,Cheney Reservoir
125,Kirwin Reservoir
126,Keith Sebelius Reservoir (Prairie Dog State Park)
127,Lovewell Reservoir
128,Waconda Reservoir (Glen Elder)
129,Anita Reservoir
130,Canyon Ferry Lake
131,Clark Canyon Reservoir
132,Fresno Reservoir
133,Gibson Reservoir
134,Helena Valley Reservoir
135,Hungry Horse Reservoir
136,Nambe Falls Reservoir
137,Navajo Reservoir - New Mexico
141,Dalton Highway
143,Bayou Bodcau Reservoir
144,Ouachita-Black River - Columbia Pool
145,Ouachita-Black River - Jonesville Pool
146,Arkabutla Lake
147,Lake Ouachita
148,Caddo Lake
149,Degray Lake
150,Enid Lake
151,Grenada Lake
152,Lake Greeson
153,Pearl River - 3 Pools
154,Sardis Lake
155,Wallace Lake
156,Ouachita-Black River - Calion Pool
157,Ouachita-Black River - Felsenthal Pool
158,Coralville Lake
159,Mississippi River - Pools 11-22
160,Lake Red Rock
161,Saylorville Lake
162,Eau Galle Lake
163,Homme Lake
164,Lac Qui Parle Lake
165,Ashtabula Lake
166,Traverse Lake
167,Mississippi River - Pool 3
168,Mississippi River - Pool 4
169,Mississippi River - Pool 5
170,Mississippi River - Pool 6
171,Mississippi River - Pool 8
172,Mississippi River - Pool 9
173,Mississippi River - Pool 10
174,Mississippi River - Pool 5A
175,Orwell Lake
176,Mississippi River Headwaters - Winnibigosh Lake
177,Mississippi River - Pool 1
178,Mississippi River - Pool 2
179,Mississippi River - Pool 7
180,Mississippi River - St. Anthony Falls Pool
181,Almond Lake
182,Aylesworth Creek Lake
183,Jennings Randolph Lake
184,Cowanesque Lake
185,Curwensville Lake
186,East Sidney Lake
187,Raystown Lake
188,Foster Joseph Sayers Dam
189,Whitney Point
190,Kettle Creek Lake
191,Tioga-Hammond Lakes
192,Moomaw Lake
193,Dismal Swamp Canal
194,Beltzville Lake
195,Blue Marsh Lake
196,IWW Delaware River to Chesapeake Bay
197,Prompton Lake
198,Francis E. Walter Dam
199,Black Rock Lake
200,Cape Cod Canal
201,Ball Mountain Lake
202,Barre Falls Dam
203,Birch Hill Dam
204,Blackwater Dam
205,Buffumville Lake
206,Colebrook River Lake
207,Conant Brook Dam
208,East Brimfield Lake
209,Edward MacDowell Lake
210,Franklin Falls Dam
211,Hancock Brook Lake
212,Hodges Village Dam
213,Hop Brook Lake
214,Hopkinton-Everett Lake
215,Knightville Dam
216,Littleville Lake
217,Mansfield Hollow Lake
218,North Hartland Lake
219,North Springfield Lake
220,Northfield Brook Lake
221,Otter Brook Lake
222,Surry Mountain Lake
223,Thomaston Dam
224,Townshend Lake
225,Tully Lake
226,Union Village Dam
227,West Hill Dam
228,West Thompson Lake
229,Westville Lake
230,Charles River
231,Blue River Lake
232,Cottage Grove Lake
233,Cougar Lake
234,"The Dalles Lock and Dam, Lake Celilo"
235,Detroit Lake
236,Dorena Lake
237,Fern Ridge Lake
238,Green Peter Lake
239,Hills Creek Lake
240,Fall Creek Lake
241,"John Day Lock and Dam, Lake Umatilla"
242,Lost Creek Lake
244,Foster Lake
245,Willow Creek
246,Lookout Point Lake
247,Bonneville Lock and Dam
248,Dexter Lake
249,Lake Pend Oreille
250,Lake Washington Ship Canal
251,Libby Dam and Lake Koocanusa
252,Mud Mountain Dam (White River)
253,Keystone Harbor
254,Rufus Woods Lake
255,Lake Sacajawea
256,Dworshak Reservoir
257,Lake Bryan
258,Lower Granite Lake
259,Lake West
260,Lucky Peak Lake
261,Lake Wallula
262,Bennington Lake
263,Clinton Lake
264,Harlan County Lake
265,Hillsdale Lake
266,Kanopolis Lake
267,Harry S. Truman Lake
268,Long Branch Lake
269,Melvern Lake
270,Milford Lake
271,Perry Lake
272,Pomme De Terre Lake
273,Pomona Lake
274,Rathbun Lake
275,Smithville Lake
276,Stockton Lake
277,Tuttle Creek Lake
278,Wilson Lake
279,Longview Lake
280,Blue Springs Lake
281,Wehrspann Lake
282,Lake Sharpe
283,Bowman Haley Lake
284,Chatfield Lake
285,Cherry Creek Lake
286,Cottonwood Springs Lake
287,Cold Brook Lake
288,Fort Peck Project
289,Lake Francis Case
290,Sakakawea Lake
291,Lewis and Clark Lake
292,Lake Oahe
293,Pipestem Lake
294,Standing Bear Lake
295,Olive Creek Lake
296,Bluestem Lake
297,Wagontrain Lake
298,Stagecoach Lake
299,Yankee Hill Lake
300,Conestoga Lake
301,Twin Lakes
302,Pawnee Lake
303,Holmes Lake
304,Branched Oak Lake
305,Glenn Cunningham Lake
306,Bear Creek Lake
307,Zorinsky Lake
308,Alum Creek Lake
309,Kanawha River - Winfield Pool
310,Kanawha River - Marmet Pool
311,Kanawha River - London Pool
312,Beech Fork Lake
313,Ohio River - Belleville Pools
314,Bluestone Lake
315,Burnsville Lake
316,Ohio River - Meldahl Pool
317,Deer Creek Lake
318,Delaware Lake
319,Dewey Lake
320,Dillon Lake
321,East Lynn Lake
322,Fishtrap Lake
323,Ohio River - Robert. C. Byrd Pool
324,Grayson Lake
325,Ohio River - Greenup Pool
326,John W. Flannagan Dam and Reservoir
327,North Branch Kokosing River Lake
328,North Fork of Pound River Lake
329,Paint Creek Lake
330,Paintsville Lake
331,R.D. Bailey Lake
332,Ohio River - Racine Pool
333,Summersville Lake
334,Sutton Lake
335,Burr Oak Lake
336,Ohio River - Willow Island Pool
337,Wills Creek Lake
338,Yatesville Lake
339,Mohawk Dam
340,Atwood Lake
341,Bolivar Dam
342,Charles Mill Lake
343,Clendening Lake
344,Dover Dam
345,Mohicanville Dam
346,Piedmont Lake
347,Pleasant Hill Lake
348,Senecaville Lake
349,Tappan Lake
350,Beach City Lake
351,Leesville Lake
352,Barren River Lake
353,Brookville Lake
354,Buckhorn Lake
355,Caesar Creek Lake
356,Cagles Mill Lake
357,Ohio River - Cannelton Pool
358,Carr Creek Lake
359,Cave Run Lake
360,Clarence J. Brown Dam and Reservoir
361,William H. Harsha Lake
362,Green River Lake
363,J. Edward Roush Lake
364,Kentucky River
365,Cecil M. Harden Lake
366,Ohio River - Markland Pool
367,Ohio River - McAlpine Pool
368,Mississinewa Lake
369,Monroe Lake
370,Ohio River - Newburgh Pool
371,Nolin River Lake
372,Patoka Lake
373,Rough River Lake
374,Salamonie Lake
375,Ohio River - Smithland Pool
376,Taylorsville Lake
377,Ohio River - John T. Myers Lock and Dam
378,West Fork of Mill Creek Lake
379,Greenriver +2 Locks
380,Ohio River - Pool 52
381,Ohio River - Pool 53
382,Barkley Lake
383,Center Hill Lake
384,Cheatham Lock and Dam
385,Cordell Hull Lake
386,Dale Hollow Lake
387,J Percy Priest Lake
388,Laurel River Lake
389,Martins Fork Lake
390,Old Hickory Lake
391,Lake Cumberland
392,Berlin Lake
393,Conemaugh River Lake
394,Crooked Creek Lake
395,East Branch Clarion River Lake
396,Ohio River - Hannibal Pool
397,Allegheny Reservoir
398,Loyalhanna Lake
399,Mahoning Creek Lake
400,Monongahela River - Maxwell Pool
401,Mosquito Creek Lake
402,Ohio River - New Cumberland Pool
403,Monongahela River - Opekiska Pool
404,Ohio River - Pike Island Pool
405,Shenango River Lake
406,Stonewall Jackson Lake
407,Tionesta Lake
408,Tygart Lake
409,Union City Dam
410,Michael J Kirwan Lake
411,Woodcock Creek Lake
412,Youghiogheny River Lake
431,Duluth-Superior Harbor
432,Keweenaw Waterway
433,Sturgeon Bay & Lake Michigan Ship Canal
434,St Marys River
435,Chena River Lakes
437,Lake Okeechobee
440,Allatoona Lake
441,Tennessee-Tombigbee Waterway
442,Lake Sidney Lanier
443,Carters Lake
444,Alabama River Lakes
445,Lake Seminole
448,Okatibbee Lake
449,Walter F. George Lake
450,West Point Lake
451,George W. Andrews Lake
452,Black Warrior and Tombigbee Lakes
453,J. Strom Thurmond Lake
454,Hartwell Lake
455,Richard B. Russell Lake
457,Falls Lake
458,John H. Kerr Dam and Reservoir
459,B. Everett Jordan Lake
460,Philpott Lake
461,W. Kerr Scott Dam & Reservoir
462,Cape Fear River
463,Alamo Lake
464,Santa Fe Dam
465,Mojave River Dam
466,Carbon Canyon Dam
467,Fullerton Dam
468,Prado Dam
469,Whittier Narrows Dam
470,Sepulveda Dam
471,Hansen Dam
472,Santa Margarita Lake
473,Black Butte Lake
474,Harry L. Englebright Lake
475,Martis Creek Lake
476,New Hogan Lake
477,Stanislaus River Parks
478,Pine Flat Lake
479,Kaweah Lake
480,Eastman Lake
481,Hensley Lake
482,Lake Sonoma
483,Mendocino Lake
485,Cochiti Lake
486,Conchas Lake
487,Galisteo Dam
488,Jemez Canyon Dam
489,Santa Rosa Lake
490,Trinidad Lake
491,Two Rivers Dam
492,Bardwell Lake
493,Belton Lake
494,Benbrook Lake
495,Canyon Lake
496,Cooper Lake
497,Lake O' The Pines
498,Grapevine Lake
499,Hords Creek Lake
500,Joe Pool Lake
501,Lavon Lake
502,Lewisville Lake
503,Navarro Mills Lake
504,Proctor Lake
505,Sam Rayburn Reservoir
506,O.C. Fisher Lake
507,Somerville Lake
508,Stillhouse Hollow Lake
509,Wright Patman Lake
510,Waco Lake
511,Whitney Lake
512,Aquilla Lake
513,Ray Roberts Lake
514,Steinhagen Lake
515,Granger Lake
516,Georgetown Lake
517,Buffalo Bayou
518,Wallisville Lake
520,Arkansas River - Norrell Pool
521,Arkansas River - Wilbur D. Mills Pool
522,Arkansas River - Pool 3
523,Arkansas River - Pool 4
524,Arkansas River - Pool 5
525,Arkansas River - Terry Lock and Dam
526,Arkansas River - Murray Lock and Dam
527,Arkansas River - Toad Suck Ferry Pool
528,Arkansas River - Rockefeller Lake
529,John Paul Hammerschmidt Lake
530,Beaver Lake
531,Blue Mountain Lake
532,Clearwater Lake
533,Dardanelle Lake
534,Dequeen Lake
535,Dierks Lake
536,Gillham Lake
537,Greers Ferry Lake
538,Millwood Lake
539,Nimrod Lake
540,Norfork Lake
541,Ozark Lake
543,Bull Shoals Lake
544,Arkansas River - Chouteau Lock and Dam
545,Arkansas River - Newt Graham Pool
546,Big Hill Lake
547,Birch Lake
548,Broken Bow Lake
549,Canton Lake
551,Council Grove Lake
552,El Dorado Lake
553,Elk City Lake
554,Eufaula Lake
555,Fall River Lake
556,Fort Gibson Lake
557,Fort Supply Lake
558,Great Salt Plains Lake
559,Heyburn Lake
560,Hugo Lake
561,Hulah Lake
562,John Redmond Reservoir
563,Kaw Lake
564,Keystone Lake
565,Marion Reservoir
566,Oologah Lake
567,Optima Lake
568,Pat Mayse Lake
569,Pine Creek Lake
570,Arkansas River - Robert S. Kerr Pool
571,Tenkiller Ferry Lake
572,Toronto Lake
573,Waurika Lake
574,Arkansas River - Webbers Falls Pool
575,Wister Lake
576,Arkansas River - W.D. Mayo Pool
577,Sardis Lake
578,Lake Texoma
579,Arcadia Lake
580,Truscott Brine Lake
581,Skiatook Lake
583,Iditarod National Historic Trail Recreation Management Area
584,Unalakleet Wild and Scenic River
587,Virgin River Canyon Recreation Area (P)
590,John Martin Reservoir
591,Burro Creek Recreation Site
596,La Posa Long Term Visitor Area
597,Parker Strip Recreation Area
599,Gulkana Wild and Scenic River
601,University of Alaska Museum of the North
603,Bill Williams River
604,Honolulu Engineer District Pacific Regional Visitor Center (
607,Alabama Hills
609,American River North Middle South Forks
611,Black Hills Back Country Byway
612,South Yuba Recreation Area
615,San Joaquin River Gorge Special Recreation Management Area
618,Jawbone/Butterbredt Recreation Management Area
620,Muleshoe Ranch
621,Route 66 Historic Back Country Byway
624,Big Sheep Creek
626,Bradshaw Trail
627,Calamity Camp Mining Site
701,Fontenelle Reservoir
708,Canyon Pintado National Historic District
977,Willard Bay Reservoir
978,Fremont Canyon Recreation Area (Pathfinder Dam)
979,Chappie/Shasta Off-Highway Vehicle Recreation Area
981,Atigun Pass
1001,Dolores River
1011,Idaho Panhandle National Forests
1012,Nez Perce-Clearwater National Forests
1013,Beaverhead-Deerlodge National Forest
1014,Bitterroot National Forest
1015,Custer National Forest
1016,Flathead National Forest
1017,Custer Gallatin National Forest
1018,Helena-Lewis and Clark National Forest
1019,Kootenai National Forest
1020,Horsethief Canyon State Wildlife Area
1022,Lolo National Forest
1023,Boise National Forest
1024,Caribou-Targhee National Forest
1025,Payette National Forest
1026,Salmon-Challis National Forest
1027,Sawtooth National Forest
1029,Humboldt-Toiyabe National Forest Headquarters
1030,Ashley National Forest
1031,Dixie National Forest
1032,Fishlake National Forest
1033,Manti-La Sal National Forest
1035,Uinta-Wasatch-Cache National Forest
1036,Bridger-Teton National Forest
1037,Ouachita National Forest
1038,Ozark-St. Francis National Forests
1039,National Forests in Florida
1040,Chattahoochee-Oconee National Forest
1041,Ely Elk Viewing Area
1042,Daniel Boone National Forest
1043,Kisatchie National Forest
1044,National Forests in Mississippi
1045,National Forests in North Carolina
1047,Francis Marion and Sumter National Forests
1048,Cherokee National Forest
1049,National Forests and Grasslands in Texas
